,Title,Published_date,Views,Likes,Comments,Month
168,Want To Make BIG MONEY In Life? Watch This | BeerBiceps Motivation,2021-05-08,294950,20151,1117,May
169,Andre Agassi - World's Number 1 Tennis Player | Sports Motivation | The Ranveer Show 110,2021-05-04,75998,3125,465,May
170,"S*x, Love And Foreplay - Tips, Secrets & Techniques ft. Luke Coutinho | The Ranveer Show 109",2021-04-30,1205114,57130,1771,Apr
171,@GaryVee & BeerBiceps Discuss The Future | The Ranveer Show 108,2021-04-27,280455,19880,1273,Apr
172,The INSPIRING Josh Talks Story - Supriya Paul | The Ranveer Show 107,2021-04-23,98990,4598,324,Apr
173,@A. R. Rahman Opens Up Like Never Before | The Ranveer Show 106,2021-04-20,515127,24943,1278,Apr
174,From Guru To The Big Bull | Abhishek Bachchan On The Ranveer Show 105,2021-04-16,376912,17894,1291,Apr
175,India In 2050 - 6 TOP Entrepreneurs Break It Down For Indian Youth | The Ranveer Show,2021-04-13,144720,8995,458,Apr
176,Major Vivek Jacob On Leaving Special Forces To Change Millions Of Lives | The Ranveer Show 104,2021-04-09,375945,18271,931,Apr
177,"Major Vivek Jacob On Combat, Survival and SPECIAL FORCES Mindset | The Ranveer Show 103",2021-04-06,1984966,80434,3201,Apr
178,"Daaji On The Art Of Heartfulness, Spirituality & Attaining Mental Peace | The Ranveer Show 102",2021-04-02,209554,8263,1096,Apr
179,Gaur Gopal Das Explains Why He Decided To Be A MONK | The Ranveer Show,2021-03-30,79730,4603,148,Mar
180,Luke Coutinho On Mental Health And Brain Training For SUCCESS | The Ranveer Show 101,2021-03-26,823633,22621,1338,Mar
181,Is Hard Work Enough For Success? | DON'T MISS THIS | Ayush Jaiswal On The Ranveer Show,2021-03-23,53897,3356,279,Mar
182,100th Episode Special - Manifest Your Dreams 🙏 | The Ranveer Show 100,2021-03-19,484237,33408,2086,Mar
183,How To Deal With Self Doubt? ft. Ahsaas Channa | BeerBiceps Motivation | The Ranveer Show,2021-03-16,135493,7102,169,Mar
