,Title,Published_date,Views,Likes,duration,Comments,durationSecs,Month
136,The #1 Thing That DESTROYS SUCCESS & Why Mindset Is EVERYTHING | Rich Roll & Jay Shetty,2021-08-06,51957,1587,PT1H10M54S,71,4254.0,Aug
137,"Darren Prince ON: Imposter Syndrome, Substance Abuse & the Road to Recovery",2021-08-02,14831,608,PT1H2M45S,35,3765.0,Aug
138,Huda and Mona Kattan: ON How Being Transparent & Vulnerable Built An Empire,2021-07-30,28076,913,PT1H26M5S,49,5165.0,Jul
139,Gisele Bündchen ON: How to Overcome Depression and Anxiety Through Meditation,2021-07-26,76220,2549,PT44M45S,130,2685.0,Jul
140,Bad Boys For Life Directors Show You How To Believe In Yourself,2021-07-23,7491,299,PT1H5M58S,22,3958.0,Jul
141,RUN THESE Daily Habits To Manifest SUCCESS & RICHES Into Your Life! | Bob Proctor & Jay Shetty,2021-07-19,237571,8010,PT52M57S,493,3177.0,Jul
142,Jada Pinkett Smith   On How To Heal Your Past And Love Yourself Again,2021-07-16,253040,7542,PT1H26M32S,459,5192.0,Jul
143,Esther Perel ON: Finding Love & the Real Reason Couples Break Up,2021-07-12,333789,8503,PT1H10M33S,275,4233.0,Jul
144,"If You FEEL LOST In Life, Watch This To FIND YOURSELF! | Deepak Chopra & Jay Shetty",2021-07-09,602874,12433,PT1H3M41S,369,3821.0,Jul
145,"LA Lakers President, Jeanie Buss ON: Empowering Women in Leadership On & Off the Court",2021-07-05,6830,204,PT54M35S,19,3275.0,Jul
146,Big Bang Theory Actor ON How To Stop Obsessing About The Future And Programming Your Mind For Peace,2021-07-02,155729,7273,PT56M8S,311,3368.0,Jul
147,Guy Raz ON: Safely Quitting Your Job & Building the Business of Your Dreams,2021-06-28,19729,571,PT1H8M50S,36,4130.0,Jun
148,Scooter Braun ON: Self-Forgiveness & Learning to Love Yourself Unconditionally,2021-06-21,97754,3108,PT1H6M4S,207,3964.0,Jun
149,Marc Randolph: ON Co-Founding Netflix & Staying Happily Married for Over 30 Years,2021-06-18,8690,363,PT1H3M4S,40,3784.0,Jun
150,"Fearne Cotton ON: Setting Healthy Boundaries with Love, Family, and in the Workplace",2021-06-14,21291,666,PT1H,52,3600.0,Jun
151,Eva Longoria: ON How To Do More With Your Time & Change Futures Along The Way,2021-06-11,61558,2039,PT1H5M41S,146,3941.0,Jun
152,TRY THIS For 7 Days To Completely CHANGE YOUR LIFE In 2022! | Dr. Joe Dispenza & Jay Shetty,2021-06-07,1173766,32656,PT1H21M22S,1001,4882.0,Jun
153,Dr. Rangan Chatterjee: ON How To Reduce The Chemicals That Ruin Your Brain & Body,2021-06-04,30185,1122,PT1H40S,38,3640.0,Jun
154,Jocko Willink ON: Leading Like a Navy Seal & Taking Extreme Ownership of Every Problem in Your Life,2021-05-31,18665,748,PT58M1S,75,3481.0,May
155,Brian Grazer: ON How to Become A Confident Communicator & Connect With Anyone Genuinely,2021-05-28,21012,739,PT53M35S,45,3215.0,May
156,"Oprah Winfrey & Dr. Perry ON: Healing From Childhood Trauma & Becoming Self Aware, Confident Adults",2021-05-24,936688,25106,PT1H14M8S,1290,4448.0,May
157,Liza Koshy: ON Becoming The Person You Should Have Been,2021-05-21,56546,1659,PT1H24M51S,76,5091.0,May
158,Dr. Shefali ON: Breaking Free of Expectations & Living Life on Your Own Terms,2021-05-17,134464,4588,PT53M17S,326,3197.0,May
159,Justin Baldoni: ON The Power of Reflection for Lifelong Relationships,2021-05-14,22821,1008,PT1H23M19S,57,4999.0,May
160,Jamie Kern Lima ON: Body Shaming in the Beauty Industry and Developing Unstoppable Self-Confidence,2021-05-10,8005,318,PT1H8M32S,27,4112.0,May
161,Kenneth Cole: ON How To Creatively Break Into The Career Of Your Choice,2021-05-07,19492,602,PT55M57S,26,3357.0,May
162,Russ ON: Delusional Self-Confidence & How To Start Manifesting Your Dream Life,2021-05-03,453008,25331,PT57M49S,1194,3469.0,May
163,"Martha Beck ON: How To Let Go of Fear, Stop Listening to Others, and Learn To Trust Yourself",2021-04-26,108981,3804,PT59M48S,206,3588.0,Apr
164,Will Smith's LIFE ADVICE On Manifesting Success Will CHANGE YOUR LIFE In 2022 | Jay Shetty,2021-04-19,2820027,61208,PT1H43M47S,2977,6227.0,Apr
165,YALE PROFESSOR Explains Why You're NOT HAPPY In Life! | Laurie Santos & Jay Shetty,2021-04-14,38328,1240,PT51M31S,71,3091.0,Apr
166,"""The SECRET To Success All Starts With This ONE TRAIT!"" | Walter Isaacson & Jay Shetty",2021-04-12,8460,234,PT50M55S,44,3055.0,Apr
167,How To DISCONNECT From Social Media & FIND YOURSELF AGAIN! | Lala Anthony & Jay Shetty,2021-04-09,64319,2607,PT31M44S,96,1904.0,Apr
168,"""OPTIMIZE Your Habits & Lifestyle To IMPROVE HEALTH TODAY!"" | Dr. Oz & Jay Shetty",2021-04-07,8367,378,PT36M54S,20,2214.0,Apr
169,EVERYTHING You've Been Taught About Manifesting IS WRONG! | Rhonda Byrne & Jay Shetty,2021-04-05,248916,6939,PT57M18S,309,3438.0,Apr
170,BILLIONAIRE REVEALS His 5 Simple Steps To SELF-MADE SUCCESS | Ray Dalio & Jay Shetty,2021-04-02,33260,1133,PT48M51S,67,2931.0,Apr
171,SUPERMODEL Shares How To Turn Insecurity Into MASSIVE CONFIDENCE| Ashley Graham & Jay Shetty,2021-03-31,381105,10287,PT1H6M33S,299,3993.0,Mar
172,"""USE THESE HABITS To Get Out Of An UNMOTIVATED RUT Today!"" | Arianna Huffington & Jay Shetty",2021-03-29,11141,339,PT51M58S,13,3118.0,Mar
173,"""Overcome MENTAL HEALTH, ANXIETY & Life's Challenges TODAY!"" | Charlamagne tha God & Jay Shetty",2021-03-26,53819,2235,PT57M9S,93,3429.0,Mar
174,"""DO THIS To Find Your TRUE PURPOSE & Achieve ANY GOAL In Life"" | Jennifer Lopez & Jay Shetty",2021-03-22,82744,3474,PT20M17S,144,1217.0,Mar
175,"""The SECRET To Becoming A PRODUCTIVITY MASTER!"" | Arianna Huffington & Jay Shetty",2021-03-17,15154,587,PT41M57S,29,2517.0,Mar
176,"""This Is Why You're NOT HAPPY In Life!"" (Happiness Formula Explained) | Danica Patrick & Jay Shetty",2021-03-15,17664,529,PT1H1M3S,30,3663.0,Mar
177,"""If You Want To ACHIEVE ANYTHING In Life WATCH THIS!"" | Payal Kadakia Pujji & Jay Shetty",2021-03-12,20763,569,PT1H14M17S,18,4457.0,Mar
178,"""DO THIS To Quickly Get Out Of A RUT TODAY!"" | David Goggins & Jay Shetty",2021-03-10,156731,5324,PT24M49S,123,1489.0,Mar
179,"""DO THIS BUILD Confidence & Destroy NEGATIVE THOUGHTS!"" | Susan David & Jay Shetty",2021-03-08,16842,585,PT1H15M37S,22,4537.0,Mar
180,"""Use This ONE MINDSET To Overcome REJECTION TODAY!"" | Francia Raisa & Jay Shetty",2021-03-05,21323,702,PT1H16M26S,22,4586.0,Mar
181,"""DESTROY Your Negative Thoughts To ACHIEVE YOUR DREAMS Today!""  | Big Sean & Jay Shetty",2021-03-01,710016,39446,PT1H17M11S,2326,4631.0,Mar
182,"""If You Want To SUCCEED In Life, DEVELOP THESE SKILLS!"" Yuval Noah Harari & Jay Shetty",2021-02-26,808716,17935,PT1H2M7S,851,3727.0,Feb
183,"""ONLY The 1% MASTER THIS ONE Skill For SUCCESS!"" | Adam Grant & Jay Shetty",2021-02-22,12268,363,PT1H12M28S,14,4348.0,Feb
